File already downloaded...
0 0 1
Epoch: [0][97/109]	Time 0.431 (0.491)	Data 0.001 (0.031)	Loss 0.235 (0.470)	Prec 67.06% (62.93%)	
Epoch: [0][98/109]	Time 0.433 (0.490)	Data 0.000 (0.030)	Loss 0.191 (0.467)	Prec 75.30% (63.05%)	
Epoch: [0][99/109]	Time 0.436 (0.489)	Data 0.000 (0.030)	Loss 0.165 (0.464)	Prec 84.80% (63.27%)	
Epoch: [0][100/109]	Time 0.432 (0.489)	Data 0.000 (0.030)	Loss 0.147 (0.461)	Prec 73.13% (63.37%)	
Epoch: [0][101/109]	Time 0.434 (0.488)	Data 0.001 (0.029)	Loss 0.216 (0.458)	Prec 70.27% (63.44%)	
Epoch: [0][102/109]	Time 0.429 (0.488)	Data 0.000 (0.029)	Loss 0.199 (0.456)	Prec 77.85% (63.58%)	
Epoch: [0][103/109]	Time 0.434 (0.487)	Data 0.000 (0.029)	Loss 0.140 (0.453)	Prec 83.15% (63.77%)	
Epoch: [0][104/109]	Time 0.438 (0.487)	Data 0.001 (0.029)	Loss 0.097 (0.449)	Prec 85.00% (63.98%)	
Epoch: [0][105/109]	Time 0.438 (0.486)	Data 0.001 (0.028)	Loss 0.654 (0.451)	Prec 62.81% (63.96%)	
Epoch: [0][106/109]	Time 0.427 (0.486)	Data 0.001 (0.028)	Loss 0.393 (0.451)	Prec 65.15% (63.98%)	
Epoch: [0][107/109]	Time 0.434 (0.485)	Data 0.001 (0.028)	Loss 0.224 (0.449)	Prec 69.06% (64.02%)	
Epoch: [0][108/109]	Time 0.425 (0.485)	Data 0.006 (0.028)	Loss 0.188 (0.446)	Prec 84.58% (64.21%)	
Epoch: [0][109/109]	Time 0.432 (0.484)	Data 0.000 (0.027)	Loss 0.252 (0.444)	Prec 80.90% (64.37%)	
